rowid	retrieved	component	gene	domain	cath	kingdom	host	enzyme_name	substrate	EC	reference	pazy_accession	BLAST_link	pdb_accession	uniprot_accession	retrieved_name	retrieved_host	synthesized	enzymatic_activity
1	WP_054022242.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Ideonella sakaiensis 201-F6	PETase	PET	EC 3.1.1.101	Yoshida, 2016; Han 2017;  Cui, 2021; Son, 2019; Lu, 2022; Bell, 2022; Shi et al., 2023; Sevilla et al., 2023	A0A0K8P6T7	WP_054022242.1	5XFY	A0A0K8P6T7	poly(ethylene terephthalate) hydrolase	Piscinibacter sakaiensis	FALSE	TRUE
2	7NEI	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermoanaerobacter sp.	PHL-7; PES-H1; PES-H2	PET	EC 3.1.1.74	Sonnendecker, 2022; Pfaff, 2022	7NEI_A/B; 7CUV_A; MBO2503201.1; SAY37592.1	7NEI	7NEI	-	A Polyester Hydrolase Leipzig 7	-	FALSE	TRUE
3	7QJM	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Chloroflexus sp. MS-G	Enzyme 202	PET	-	Erickson, 2022	YNPsite05_CeleraDRAFT_401410	7QJM	7QJM	-	A alpha/beta-hydrolase	-	FALSE	TRUE
4	A0A1W6L588	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas sp. strain 9.2	EstB	PET	EC 3.1.1.1	Sagong, 2021, Avilan, 2023	A4W93_05950	A4W93_05950	7DZT	A4W93_05950	Dienelactone hydrolase domain-containing protein	Piscinibacter gummiphilus	FALSE	TRUE
5	ACY95991.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida curvata DSM43183	Tcur0390	PET; PUR	EC 3.1.1.74	Wei, 2014, Schmidt, 2017	ACY95991.1	ACY95991.1	-	D1A2H1	Triacylglycerol lipase	Thermomonospora curvata DSM 43183	FALSE	TRUE
6	ACY96861.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida curvata DSM43183	Tcur_1278	PET; PUR	EC 3.1.1.74	Wei, 2014, Schmidt, 2017	D1A9G5	ACY96861.1	-	D1A9G5	Triacylglycerol lipase	Thermomonospora curvata DSM 43183	FALSE	TRUE
7	ADK73612.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Marinobacter sp.	PLE629	PET	EC 3.1.1.74	Inglis, 2011; Haernvall, 2017	ADK73612	ADK73612.1	-	E9KJL1	cutinase A precursor	Ectopseudomonas oleovorans	FALSE	TRUE
8	ADM47605.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca	Enzyme 702	PET	-	Erickson, 2022	ADM47605.1	ADM47605.1	7QJQ	Q6A0I4	acetylxylan esterase	Thermobifida fusca	FALSE	TRUE
9	ADV66860.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Deinococcus maricopensis DSM 21211	PET1; DmPETase	PET	-	Danso et al., 2018; Makryniotis et al., 2023	E8U721	ADV66860.1	-	E8U721	Triacylglycerol lipase	Deinococcus maricopensis DSM 21211	FALSE	TRUE
10	ADV92525.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida alba DSM43185	Tha_Cut1; cut1	PET	EC 3.1.1.74	Ribitsch, 2012	E9LVH7	ADV92525.1	-	E9LVH7	cutinase 1	Thermobifida alba	FALSE	TRUE
11	ADV92526.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida cellulosilytica DSM44535	-	PET; PBAT	EC 3.1.1.74	Herrero Acero, 2011; Ribitsch 2017; Perz, 2016	ADV92526.1	ADV92526.1	5LUI	E9LVH8	cutinase 1	Thermobifida cellulosilytica	FALSE	TRUE
12	ADV92527.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida cellulosilytica DSM44535	Thc_Cut2	PET	EC 3.1.1.74	Herrero Acero, 2011 Ribitsch 2017	ADV92571	ADV92527.1	5LUJ	E9LVH9	cutinase 2	Thermobifida cellulosilytica	FALSE	TRUE
13	ADV92528.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca DSM44342	TfH42_Cut1	PET	EC 3.1.1.74	Herrero Acero, 2011	E9LVI0_THEFU	ADV92528.1	-	E9LVI0_THEFU	cutinase 1	Thermobifida fusca	FALSE	TRUE
14	AET05798.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca NRRL B-8184	Cut1	PET	EC 3.1.1.74	Hedge, 2013	JN129499.1	AET05798.1	-	G8GER6	cutinase	Thermobifida fusca	FALSE	TRUE
15	AET05799.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca NRRL B-8184	Cut2	PET	EC 3.1.1.74	Hedge, 2013	JN129500.1	AET05799.1	-	Q6A0I4	cutinase	Thermobifida fusca	TRUE	TRUE
16	AFA45122.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida halotolerans	Thh_Est	PET	EC 3.1.1.1	Ribitsch, 2012	H6WX58	AFA45122.1	-	H6WX58	serine hydrolase	Thermobifida halotolerans	FALSE	TRUE
17	AGT96415.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Marine metagenome	MGS0109 (KC986401)	PLA	EC 3.1.1.1	Tchigvintsev, 2015	AGT96415	AGT96415.1	-	T1W006	esterase	uncultured bacterium	FALSE	TRUE
